type,sub-type,key,note,zh_TW,en_US
Pages,Home,DailyHighlight-title,,今日焦點,Top stories today
Pages,Home,FeaturedCard-readr-title,,READr 最新報導,Latest from READr
Pages,Home,FeaturedCard-non-readr-title,,最多人精選,Top picks by users this week
Pages,Home,EmptyMessage-title,,找不到新聞,No stories found
Pages,Home,EmptyMessage-description,,請查看其他分類，或重新整理頁面,Try browsing other categories or refresh the page
Pages,Home,TopCollectorSection-title,,本週精選最多文章,Top pickers of the week
Pages,Home,TopCollectorCard-pick-detail-1,,本週已精選,has picked
Pages,Home,TopCollectorCard-pick-detail-2,,篇文章,stories this week
Pages,Home,MostLikedCommentSection-title,,本週獲得最多愛心的留言,Top liked comments of the week
Pages,Home,MostLikedCommentCard-like-detail-1,,留言獲得,Comment received
Pages,Home,MostLikedCommentCard-like-detail-2,,個愛心,likes
Pages,Home,TopPublisherSection-title,,獲得最多次贊助,Most sponsored of the week
Pages,Home,TopPublisherCard-sponsor-detail-1,"理論上英文應該顯示：Received {number} sponsorships
所以「贊助」可以留空",已獲得,Received
Pages,Home,TopPublisherCard-sponsor-detail-2,,贊助,
Pages,Home,TopPublisherCard-sponsor-count-unit,,次,sponsorships
Pages,Home,Comment-show-more,,顯示更多,show more
Pages,Subpage,SubpageLayout-title,,{{title}}熱門,Trending in {{title}}
Pages,Subpage,SubpageLayout-podcast-title,"顯示為 ""Podcast 熱門""",{{title}} 熱門,Trending in {{title}}
Pages,Subpage,latest-news-title,,最新報導,Latest stories
Pages,Subpage,PublisherCard-sponsor-count-1,,已獲得,Received
Pages,Subpage,PublisherCard-sponsor-count-2,,次贊助,sponsorships
Pages,Social,NoFollowings-title,,咦？這裡好像還缺點什麼...,Hmm... something seems to be missing here...
Pages,Social,NoFollowings-action,,追蹤您喜愛的人,Follow people you like
Pages,Social,NoFollowings-action-detail,,看看他們都精選了什麼新聞 👀,See what stories they've picked 👀
Pages,Social,FollowSuggestionFeed-title,,推薦追蹤,Suggested follows       
Pages,Social,FollowSuggestionFeed-recommend-others,,重新推薦,Refresh
Pages,Social,FollowSuggestionFeed-follow-detail-with-name,,{{name}}及其他 {{followerCount}} 人的追蹤對象,Followed by {{name}} and {{followerCount}} others
Pages,Social,FollowSuggestionFeed-follow-detail,,有 {{followerCount}} 人正在追蹤,{{followerCount}} followers
Pages,Social,FeedComment-expand-comment,,看完整留言,View full comment
Pages,Social,FeedLatestAction-single-comment,,在這篇文章留言,commented on this story
Pages,Social,FeedLatestAction-two-comments-1,,及,and
Pages,Social,FeedLatestAction-two-comments-2,,在這篇文章留言,commented on this story
Pages,Social,FeedLatestAction-three-comments-1,,及其他,and other
Pages,Social,FeedLatestAction-three-comments-2,,人在這篇文章留言,commented on this story
Pages,Social,FeedLatestAction-single-pick-story,,精選了這篇,picked this story
Pages,Social,FeedLatestAction-single-pick-podcast,,精選了這集 Podcast,picked this episode of the podcast
Pages,Social,FeedLatestAction-two-picks-1,,及,and
Pages,Social,FeedLatestAction-two-picks-2-story,,精選了這篇文章,picked this story
Pages,Social,FeedLatestAction-two-picks-2-podcast,,精選了這集 Podcast,picked this episode of the podcast
Pages,Social,FeedLatestAction-three-picks-1,,及其他,and other
Pages,Social,FeedLatestAction-three-picks-2-story,,精選了這篇文章,picked this story
Pages,Social,FeedLatestAction-three-picks-2-podcast,,精選了這集 Podcast,picked this episode of the podcast
Pages,Media,NoStories-title,,這個分類沒有新文章,No new stories in this category
Pages,Media,NoStories-description,,看看其他分類吧👆,Check out other categories 👆
Pages,Media,CategorySelector-edit,,編輯,Edit
Pages,Media,CategoryEditor-title,,編輯追蹤類別,Edit followed categories
Pages,Media,CategoryEditor-hint,,請選擇您想追蹤的新聞類別,Select the news categories you want to follow
Pages,Media,CategoryEditor-at-least-one,,至少要選1個,Select at least one
Pages,Media,CategoryEditor-save,,儲存,Save
Pages,Media,MostPickedStoryCard-title,,最多人精選,Top picks by users this week
Pages,Media,PublisherSuggestion-title,,推薦追蹤,Suggested follows       
Pages,Media,PublisherSuggestion-action,,查看全部,View all
Pages,Media,PublisherSuggestion-hidden,,已隱藏,Hidden
Pages,Media,PublisherSuggestion-status-hidden,,您不會再收到此推薦,You won’t see this suggestion again
Pages,Media,PublisherSuggestion-status-new,,新加入,Newly joined        
Pages,Media,PublisherSuggestion-status-followers,,{{followerCount}}人追蹤,{{followerCount}} followers
Pages,Media,PublisherSuggestion-cancel,,取消,Cancel
Pages,Media,PublisherCard-sponsor-count-1,,已獲得,Received
Pages,Media,PublisherCard-sponsor-count-2,,次贊助,sponsorships
Pages,Profile,ProfilePage-edit-profile,,編輯個人檔案,Edit profile
Pages,Profile,ProfilePage-media-backstage,,進入媒體後台,Media dashboard
Pages,Profile,ProfilePage-follow,,追蹤,Follow
Pages,Profile,ProfilePage-following,,追蹤中,Following
Pages,Profile,PublisherPage-sponsor-or-payment,,贊助/訂閱媒體,Sponsor
Pages,Profile,PublisherPage-sponsor-count,,{{count}}次,{{count}} sponsorships
Pages,Profile,UserProfile-publisher-get-picks-1,,本週獲得,Received
Pages,Profile,UserProfile-publisher-get-picks-2,,次精選,picks
Pages,Profile,UserProfile-member-picks-1,,本週精選了,Picked
Pages,Profile,UserProfile-member-picks-2,,篇文章,stories this week
Pages,Profile,TabKey-pick,,精選,Picks
Pages,Profile,TabKey-follower,,粉絲,Followers
Pages,Profile,TabKey-following,,追蹤中,Following
Pages,Profile,TabKey-sponsored,,本月獲得贊助,Received
Pages,Profile,TabOption-pick,,精選,Picks
Pages,Profile,TabOption-collection,,集錦,Collections
Pages,Profile,TabOption-bookmark,,書籤,Bookmarks
Pages,Profile,TabOption-story,,報導,Stories
Pages,Profile,TabOption-podcast,,Podcast,Podcast
Pages,Profile,ProfileMoreActionButton-actions-copy-link,,複製個人檔案連結,Copy profile link
Pages,Profile,ProfileMoreActionButton-actions-share,,分享這個人的個人檔案,Share profile
Pages,Profile,ProfileMoreActionButton-actions-report,,檢舉,Report
Pages,Profile,ProfileMoreActionButton-actions-block,,封鎖,Block
Pages,Profile,CollectionsCarousel,,精選集錦,Picked collections
